CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,CustomerSentimentScore,Churn,PushNotificationClicks,EmailOpenRate,AppUsageTime,SocialMediaAdClicks,ProductReviewCount,ReferralCount,CartAbandonmentRate,WishlistItems,AverageSessionDuration,DeviceType
CUST0001,58,Female,Brownside,Platinum,23,4182.36,Toys,2024-06-05,3.73,32.58,77,0.11,-0.43,0,22,0.93,13.52,1,5,5,0.42,12,8.94,Mobile
CUST0002,25,Male,Port Susan,Platinum,52,9959.96,Home Goods,2024-09-29,7.03,48.71,5,0.47,-0.89,0,18,0.27,80.48,17,12,7,0.18,11,8.57,Mobile
CUST0003,19,Male,Pattersonside,Silver,37,818.78,Clothing,2024-04-04,8.42,21.3,28,0.43,-0.44,0,15,0.01,104.27,18,6,9,0.88,15,19.33,Desktop
CUST0004,65,Female,Mariaton,Gold,1,6841.51,Electronics,2024-12-01,2.31,9.5,57,0.29,-0.42,1,25,0.82,89.39,13,2,6,0.63,13,1.01,Tablet
CUST0005,35,Male,New Joshua,Bronze,69,9761.68,Clothing,2024-05-22,6.53,50.1,14,0.36,-0.07,1,37,0.79,69.25,8,16,10,0.27,1,14.28,Desktop
CUST0006,33,Female,Calvinchester,Gold,43,4468.68,Home Goods,2024-06-05,1.48,11.67,88,0.44,-0.63,1,35,0.8,7.41,7,27,8,0.89,20,4.76,Mobile
CUST0007,32,Male,East Cynthia,Gold,98,1443.64,Electronics,2024-04-28,5.39,27.31,76,0.17,-0.89,0,50,0.65,3.06,10,46,7,0.73,4,3.57,Mobile
CUST0008,26,Non-Binary,Christopherview,Platinum,60,7406.44,Electronics,2024-05-19,2.56,56.62,14,0.23,-0.72,0,2,0.63,29.37,7,23,10,0.31,8,3.12,Desktop
CUST0009,65,Male,Romeroburgh,Gold,84,2262.86,Home Goods,2024-12-26,3.45,26.24,18,0.37,-0.4,1,41,0.1,23.36,17,9,3,0.71,18,24.75,Mobile
CUST0010,24,Non-Binary,Bauerfurt,Silver,23,1058.88,Clothing,2025-01-13,3.54,55.25,56,0.2,-0.31,1,13,0.03,88.74,5,31,3,0.37,3,4.58,Mobile
CUST0011,61,Male,North Rebecca,Platinum,88,2638.92,Home Goods,2024-03-01,5.3,31.59,44,0.11,-0.7,1,17,0.73,86.55,1,19,5,0.43,4,6.09,Tablet
CUST0012,65,Female,Salinasside,Platinum,13,9190.21,Clothing,2024-05-10,2.37,37.5,76,0.37,0.12,0,23,0.73,90.43,3,3,2,0.67,9,18.01,Tablet
CUST0013,52,Non-Binary,Carlport,Gold,50,4150.47,Home Goods,2024-05-31,6.43,35.79,31,0.24,-0.87,0,38,0.78,14.53,17,46,0,0.13,13,26.88,Tablet
CUST0014,23,Non-Binary,South Dorothyburgh,Platinum,75,9914.02,Books,2024-03-23,0.61,32.96,72,0.28,0.2,0,45,0.85,68.29,15,16,1,0.6,18,12.52,Mobile
CUST0015,55,Female,Chavezland,Silver,84,6465.89,Books,2024-10-22,9.26,28.2,89,0.06,-0.49,0,16,0.44,76.51,15,22,8,0.47,0,27.98,Desktop
CUST0016,45,Non-Binary,West Jennifer,Bronze,54,8909.04,Electronics,2024-02-24,5.41,28.77,100,0.04,0.65,0,34,0.24,16.29,13,27,8,0.79,5,14.11,Mobile
CUST0017,20,Male,North Andrechester,Silver,54,8941.72,Books,2024-03-29,3.52,18.3,46,0.25,-0.67,1,38,0.83,86.01,14,16,9,0.61,11,17.65,Desktop
CUST0018,19,Female,Port Karenfort,Platinum,53,1025.48,Home Goods,2024-04-16,3.18,20.43,40,0.27,-0.05,0,13,0.73,37.76,2,20,7,0.4,19,21.46,Mobile
CUST0019,23,Non-Binary,Kellerberg,Silver,25,9243.31,Books,2024-02-28,1.54,16.22,59,0.12,0.81,1,1,0.43,106.45,5,17,6,0.67,12,12.91,Desktop
CUST0020,31,Male,Rebeccaville,Platinum,82,6156.56,Toys,2024-09-16,8.49,27.66,85,0.3,-0.09,1,18,0.18,60.87,18,50,1,0.93,17,4.59,Mobile
CUST0021,32,Non-Binary,Morrisside,Gold,4,1025.75,Toys,2024-02-23,4.78,18.4,11,0.41,0.96,1,39,0.37,14.45,8,13,1,0.42,2,18.7,Desktop
CUST0022,50,Female,Jillianmouth,Platinum,80,2578.14,Toys,2024-05-16,2.99,5.09,36,0.42,0.74,0,17,0.22,117.73,20,4,0,0.22,13,21.73,Desktop
CUST0023,56,Male,Phyllisport,Bronze,29,6023.4,Home Goods,2024-05-22,1.37,17.38,23,0.14,-0.51,0,3,0.76,59.39,8,40,10,0.86,13,7.96,Mobile
