CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,CustomerSentimentScore,Churn,PushNotificationClicks,EmailOpenRate,AppUsageTime,SocialMediaAdClicks,ProductReviewCount,ReferralCount,CartAbandonmentRate,WishlistItems,AverageSessionDuration,DeviceType
CUST0001,58,Female,Smithland,Platinum,23,4182.36,Toys,2024-04-13,3.73,32.58,77,0.11,-0.43,0,22,0.93,13.52,1,5,5,0.42,12,8.94,Mobile
CUST0002,25,Male,Virginiafort,Platinum,52,9959.96,Home Goods,2024-04-27,7.03,48.71,5,0.47,-0.89,0,18,0.27,80.48,17,12,7,0.18,11,8.57,Mobile
CUST0003,19,Male,New Alexandrachester,Silver,37,818.78,Clothing,2025-01-04,8.42,21.3,28,0.43,-0.44,0,15,0.01,104.27,18,6,9,0.88,15,19.33,Desktop
CUST0004,65,Female,Smithborough,Gold,1,6841.51,Electronics,2024-05-29,2.31,9.5,57,0.29,-0.42,1,25,0.82,89.39,13,2,6,0.63,13,1.01,Tablet
CUST0005,35,Male,North Veronica,Bronze,69,9761.68,Clothing,2024-07-07,6.53,50.1,14,0.36,-0.07,1,37,0.79,69.25,8,16,10,0.27,1,14.28,Desktop
CUST0006,33,Female,Cooperside,Gold,43,4468.68,Home Goods,2024-08-26,1.48,11.67,88,0.44,-0.63,1,35,0.8,7.41,7,27,8,0.89,20,4.76,Mobile
CUST0007,32,Male,South Charlesville,Gold,98,1443.64,Electronics,2024-08-15,5.39,27.31,76,0.17,-0.89,0,50,0.65,3.06,10,46,7,0.73,4,3.57,Mobile
CUST0008,26,Non-Binary,Jessicaburgh,Platinum,60,7406.44,Electronics,2024-01-26,2.56,56.62,14,0.23,-0.72,0,2,0.63,29.37,7,23,10,0.31,8,3.12,Desktop
CUST0009,65,Male,East Christiechester,Gold,84,2262.86,Home Goods,2024-04-19,3.45,26.24,18,0.37,-0.4,1,41,0.1,23.36,17,9,3,0.71,18,24.75,Mobile
CUST0010,24,Non-Binary,Terrychester,Silver,23,1058.88,Clothing,2024-11-03,3.54,55.25,56,0.2,-0.31,1,13,0.03,88.74,5,31,3,0.37,3,4.58,Mobile
